country_codes,institution_id,name,oauth,products,routing_numbers,dtc_numbers
['US'],ins_130347,Chiphone Credit Union,True,"['assets', 'auth', 'balance', 'identity', 'identity_match', 'income_verification', 'investments', 'liabilities', 'pay_by_bank', 'processor_payments', 'recurring_transactions', 'signal', 'transactions']","['007369281', '008462187', '011401533', '016084531', '021299133', '027359297', '027641992', '028916697', '029032402', '029067914', '034809439', '035583026', '036383050', '041875223', '044084163', '047718203', '048862365', '053530514', '058101883', '063921883', '094372993', '098792281', '106580877', '110746555', '115579536', '117332920', '120587429', '121113407', '124322266', '130736215', '136129907', '146800533', '148623860', '157033865', '158369703', '160510676', '163618300', '167587851', '171989076', '173007008', '178737975', '179120853', '182745830', '183933353', '183966223', '192416829', '194651747', '195823671', '196172143', '198101798', '210216215', '210893900', '213480844', '229367948', '233713371', '240980935', '242645003', '254849318', '255509055', '259960409', '260042989', '262185446', '267634206', '271290597', '276049073', '277366234', '293763390', '294188372', '294479544', '304946983', '310718561', '317356353', '320384781', '321908182', '326779125', '328768309', '333673175', '335105162', '337183153', '355220988', '360248722', '365006626', '365571481', '366076257', '371794249', '381110965', '386967168', '388379518', '390056939', '411165369', '422207795', '423177196', '427483174', '437297509', '439062318', '443196649', '450218264', '456284292', '456298123', '463186817', '476246980', '476318384', '478149852', '482079811', '485225581', '490045882', '501531094', '507101923', '508678358', '517772410', '550686945', '551474635', '553905979', '555984134', '565581666', '567708696', '576220589', '578065409', '583383037', '587913526', '589003683', '591229073', '598517474', '601052606', '614140424', '614672963', '616005444', '617867267', '623653517', '624859187', '633878421', '636610327', '640990716', '641955624', '646193290', '649496486', '656588811', '657239392', '658306318', '661581638', '666079844', '667080230', '669060342', '686264969', '687836118', '691718921', '691822370', '694894318', '698101955', '710582698', '712454708', '712952941', '714967549', '721866138', '723330675', '726390858', '730397562', '733227215', '736830832', '738028082', '741861621', '742958151', '748170195', '749418539', '752316974', '752732943', '753776584', '756981185', '758267535', '759152869', '760246078', '771521203', '776035037', '777183373', '783427780', '790944968', '795397565', '807059681', '809343379', '815657156', '822890511', '826641708', '828405191', '829696666', '848231714', '848631149', '863339057', '866767891', '874961100', '883730513', '889379020', '890338885', '892928992', '903176976', '910326764', '910771380', '913858860', '930186803', '932807533', '934343189', '934379014', '939866108', '953443688', '954562762', '960559497', '965530945', '967638230', '973706392', '973835878', '975497065', '976334318', '979152487', '982854235', '984317686', '991723849', '994515083', '997668869', '998139407']",
['US'],ins_130242,Ocala Community Credit Union,True,"['assets', 'auth', 'balance', 'identity', 'identity_match', 'income_verification', 'investments', 'liabilities', 'pay_by_bank', 'processor_payments', 'recurring_transactions', 'signal', 'transactions']","['011401533', '263181151']",
['US'],ins_129756,Shell Western States Credit Union,True,"['assets', 'auth', 'balance', 'identity', 'identity_match', 'income_verification', 'investments', 'liabilities', 'pay_by_bank', 'processor_payments', 'recurring_transactions', 'signal', 'transactions']","['011401533', '321173218']",
['US'],ins_131862,A+ Federal Credit Union,True,"['assets', 'auth', 'balance', 'identity', 'identity_match', 'income_verification', 'investments', 'liabilities', 'pay_by_bank', 'processor_payments', 'recurring_transactions', 'signal', 'transactions', 'transfer']","['011401533', '314977104']",
['US'],ins_113806,Idaho Central Credit Union,True,"['assets', 'auth', 'balance', 'identity', 'identity_match', 'income_verification', 'investments', 'liabilities', 'pay_by_bank', 'processor_payments', 'recurring_transactions', 'signal', 'transactions']","['011401533', '322174957', '324172708', '324173626']",
['US'],ins_137794,MIDFLORIDA Credit Union - Premier Treasury,True,"['assets', 'auth', 'balance', 'identity', 'identity_match', 'income_verification', 'investments', 'liabilities', 'pay_by_bank', 'processor_payments', 'recurring_transactions', 'signal', 'transactions']","['011401533', '263179804']",
['US'],ins_111436,Qualstar Credit Union,True,"['assets', 'auth', 'balance', 'identity', 'identity_match', 'income_verification', 'investments', 'liabilities', 'pay_by_bank', 'processor_payments', 'recurring_transactions', 'signal', 'transactions']","['011401533', '325081966']",
['US'],ins_13,PNC,True,"['assets', 'auth', 'balance', 'identity', 'identity_match', 'income_verification', 'investments', 'liabilities', 'pay_by_bank', 'processor_payments', 'recurring_transactions', 'signal', 'transactions']","['021200012', '021200575', '021201943', '021202191', '021202311', '021202447', '031000053', '031001175', '031100089', '031100490', '031203999', '031205913', '031207607', '031300012', '031300562', '031302447', '031306100', '031307426', '031307604', '031312738', '031313562', '031316967', '031902766', '041000124', '041001246', '041200144', '041203895', '041204166', '041211298', '041213814', '042000398', '042000424', '042100049', '042100188', '042104249', '042200279', '042202426', '043000096', '043000122', '043002900', '043300738', '043305131', '044000011', '051401331', '051403517', '051403630', '051403915', '051404118', '052000618', '052100547', '052100725', '052100893', '052100929', '052101106', '052101588', '052102215', '053100850', '054000030', '055000262', '055000288', '055000372', '055000657', '055000770', '055001054', '055001122', '055001384', '055001698', '055001766', '055001876', '055002244', '055002286', '055002558', '056004720', '056008852', '061103360', '061119639', '061192630', '061203257', '062001186', '062001209', '062200880', '062201164', '062201601', '062203298', '062205665', '062205908', '063013924', '063110791', '063114386', '063114632', '063114784', '063214312', '065103625', '065103887', '067003671', '067012057', '067012882', '067014194', '071001630', '071100049', '071100706', '071201647', '071921891', '072000915', '072400353', '072400421', '072400670', '072401006', '072401585', '072402199', '074000065', '074000515', '074900194', '074912577', '081000702', '081000728', '081001727', '081004517', '081010860', '083000056', '083000108', '083000920', '083009060', '083902154', '107000783', '107005319', '107006936', '107006949', '111317857', '111907445', '113010547', '113122325', '114900313', '114909013', '122101010', '122105744', '122105948', '231371579', '242070966', '242071237', '242071305', '242071583', '242072715', '255072207', '261170546', '263290576', '267084199', '267087358', '271070607', '271070791', '271971560', '271971816', '275071408', '281073458', '281073568', '314970664', '321170538', '322270408', '322271850']",['2616']
